album_id,genre
7nacKlk586eLRBSIsrk9DB,
0DLvFVIfwt3OHdK9kGeEM3,
168CdR21lfn0TTyw1Pkdcm,
3gHZ4w03gbuZtGTEwztrtw,
5GGhfo4jx3RArjyijUCnfP,pop rap
5JjnoGJyOxfSZUZtk2rRwZ,
4BmzK2rkU0mJJzfkugX0NG,
2Z1gnUf3nbn6DtwZSUIH54,
6PbnGueEO6LGodPfvNldYf,
0OWvUsVTHFXXnGiGht96K4,
1pb3je8gXTs5dpRRTKhHRC,
1nqF9ybDGwuGl1rVERp5Q4,
5YxG0ULdAixTrnzfo60HX4,
2vHRMDYWkdjZLRsLD4l76m,
7aJuG4TFXa2hmE4z1yxc3n,
5bBaoign62r1i7OV8w7mi9,country pop
1bFYDBXTbJWhFzVas1NcY0,
1WAjjRMfZjEXtB0lQrAw6Q,
1fmBMCSSkSlvxyoy1vut2k,
1nrVofqDRs7cpWXJ49qTnP,contemporary r&b
1bFYDBXTbJWhFzVas1NcY0,
1Mo4aZ8pdj6L1jx8zSwJnt,
5Uly85dJHHDfHQCsyUQ8gw,
3KGVOGmIbinlrR97aFufGE,
2g4aJTa5ejGpp0O0GKzWAQ,
71PfP4E9roOXAudea1aPGw,pop
40HsqPqeSR9Xe3IyAJWr6e,
7aj4cB74oT3vTHDHAMaiHw,
7aj4cB74oT3vTHDHAMaiHw,
7LRZfujsTLyy814AnMSdtT,
7aj4cB74oT3vTHDHAMaiHw,
2m1enA3YrMLVvR3q0MqLpL,
64LU4c1nfjz1t4VnGhagcg,
5gWV4yp27HCbXJ1YLe8hQM,
3f6e4wXxxi4ahqWsSU7OpT,
4BnCr0behKaGscMMhpiHX7,
2Z3lIfc06B7YV1ZN9oZCdS,
0v9QGZDE2msGl8zAlXKP93,
0oxsySb03ku7RpJmH2raGC,
7jMvMRNd508fY4ysRgADGS,
34dtgu2pcdvKAMpAhyCsDA,
168CdR21lfn0TTyw1Pkdcm,
2NmIkHfuMdIdqJlu3LtxwU,trap
1Mo92916G2mmG7ajpmSVrc,
71b560lfhaeBlp4URJHAzx,
20llijrPaOy2qVivkSXuRB,
3AafSrFIbJPH6BJHiJm1Cd,
4JDXBZdRPId4devseaAOKH,
7aJuG4TFXa2hmE4z1yxc3n,
0MHL4d7qBuQpgU9AXDd2cK,
0MHL4d7qBuQpgU9AXDd2cK,
62ldGEkFUkQa34B8qsAFyc,
2vHRMDYWkdjZLRsLD4l76m,trap
5tSQtQGkrCJx3hoQxmLgfM,
0EiI8ylL0FmWWpgHVTsZjZ,
3TMg3z1XaSKSgr7IGpLkmm,
1q37MEHkdOivTuJJbwRkGS,
0AGTYuKIZpklJih6pEmoWp,
0Kqj5PY6TwePKQDFj4wnOB,
2s7CBSj6aKbWmkfBU8eEsg,
20llijrPaOy2qVivkSXuRB,
10FLjwfpbxLmW8c25Xyc2N,
5HIWDdg3g9CTOtnevKDl1z,
2v1Lb9hidHkvvlIXYzSmeZ,
2v1Lb9hidHkvvlIXYzSmeZ,
32bR4LcEc1PvJEhaKoo4ZN,
2o9pU5WgCt1r7IDe5BCUr8,
5DvJgsMLbaR1HmAI6VhfcQ,dance-pop
5Uly85dJHHDfHQCsyUQ8gw,country
3YOMkR4iUo3bmEIApbWmsa,
1bWcE0tKOJgn4kgpNKSHU0,
3VNxRarx9HUI5w7DHv0TBj,
2GW4VpFk9mbc6qYZ0zNuu3,
3gHZ4w03gbuZtGTEwztrtw,
6kcZ35GY84A3FBIcIKVqTW,
1j5AROUr8rq5xb2CXDIH1c,
70xOoXrLzPZTRHySJED3q3,
66zWgz6qNye8hXW8cOQY18,
62NSHNGNQC2hXZKNuvF6pi,
4FftCsAcXXD1nFO9RFUNFO,
20llijrPaOy2qVivkSXuRB,
4i3ay5RKpdmJok8zazCdlf,
4nTqaqVko7cIlMSkfXI9oF,
4B4Elma4nNDUyl6D5PvQkj,
19DGbjQW4oJmS1TLmr7OH3,
3YOMkR4iUo3bmEIApbWmsa,
7aJuG4TFXa2hmE4z1yxc3n,
2WSeZEFsZKPJQ09abZCIaz,
3NwHGaFneaad7RHBKboeUw,contemporary r&b
5EYKrEDnKhhcNxGedaRQeK,pop
5YxG0ULdAixTrnzfo60HX4,
3BlMJVXfuVfL9LZhO9zBUI,
5rQ9bj7fCon5qGgve7QmzL,
6mpTzL80F11TaeU79loRyJ,pop
5KxDhlSxJGEOcaTnqKwdYu,
3f6e4wXxxi4ahqWsSU7OpT,
0BaIaHcyBXuOWeM4Aas4EW,
7aJuG4TFXa2hmE4z1yxc3n,
3hFTgPUFrpYwfEsMJIXiid,
1U0Z7QjSzlg3gMeUOuUldz,
2Cn1d2KgbkAqbZCJ1RzdkA,
0EiI8ylL0FmWWpgHVTsZjZ,
5Zwbll6KYxOjZSuxRjQDEm,
5CLwcVp4tfZqwxHLr77dnY,
4rGd4QTextzBZmB9G8yHyk,
5ylbxH7EqpsmHZCRuiYewS,
7nacKlk586eLRBSIsrk9DB,
5DvJgsMLbaR1HmAI6VhfcQ,dance-pop
3NpeIWhWsxU7d3XL5KEh39,
29jlK0pu6Zv0TznE4uwpbq,
6ImITnIw9fYiSDJ7uJhvMk,
3wZawwqgPM0P4SAyyWdn2S,
71PfP4E9roOXAudea1aPGw,pop
5zesPlZ3PXnxQ8HWzQ9idI,
0XKconI47eiBP6qPYHsx9f,
20llijrPaOy2qVivkSXuRB,
