"album_id","album_name","artist_name"
"5GGhfo4jx3RArjyijUCnfP","Lovin On Me","Jack Harlow"
"5JjnoGJyOxfSZUZtk2rRwZ","Not Like Us","Kendrick Lamar"
"4BmzK2rkU0mJJzfkugX0NG","Espresso","Sabrina Carpenter"
"2Z1gnUf3nbn6DtwZSUIH54","MILLION DOLLAR BABY","Tommy Richman"
"0OWvUsVTHFXXnGiGht96K4","Unreal Unearth: Unaired","Hozier"
"1pb3je8gXTs5dpRRTKhHRC","Stick Season (We'll All Be Here Forever)","Noah Kahan"
"1nqF9ybDGwuGl1rVERp5Q4","The Cruelest Summer","Taylor Swift"
"1WAjjRMfZjEXtB0lQrAw6Q","Good Luck, Babe!","Chappell Roan"
"1fmBMCSSkSlvxyoy1vut2k","Saturn","SZA"
"3KGVOGmIbinlrR97aFufGE","TYLA","Tyla"
"2g4aJTa5ejGpp0O0GKzWAQ","emails i can’t send fwd:","Sabrina Carpenter"
"40HsqPqeSR9Xe3IyAJWr6e","What Happens Now?","Dasha"
"7LRZfujsTLyy814AnMSdtT","Pink Skies","Zach Bryan"
"5gWV4yp27HCbXJ1YLe8hQM","Miles On It","Marshmello"
"2Z3lIfc06B7YV1ZN9oZCdS","Twisters: The Album","Luke Combs"
"0oxsySb03ku7RpJmH2raGC","Houdini","Eminem"
"7jMvMRNd508fY4ysRgADGS","Wanna Be (with Megan Thee Stallion)","GloRilla"
"34dtgu2pcdvKAMpAhyCsDA","Wanna Be (with Megan Thee Stallion & Cardi B) [Remix]","GloRilla"
"71b560lfhaeBlp4URJHAzx","Yeah Glo! (Alternate Versions)","GloRilla"
"3AafSrFIbJPH6BJHiJm1Cd","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish"
"4JDXBZdRPId4devseaAOKH","DECIDE","Djo"
"0MHL4d7qBuQpgU9AXDd2cK","Fine Ho, Stay","Flo Milli"
"0MHL4d7qBuQpgU9AXDd2cK","Fine Ho, Stay","Flo Milli"
