album_id,album_name,label,external_link,album_image,artist_name,genre
3egFmnuKrjoMAlqCfdw7KH,I've Tried Everything But Therapy (Part 1.5),Warner Records,https://open.spotify.com/album/3egFmnuKrjoMAlqCfdw7KH,https://i.scdn.co/image/ab67616d0000b27345bef9b7638973c80f610598,Teddy Swims,pop
0DLvFVIfwt3OHdK9kGeEM3,"Where I've Been, Isn't Where I'm Going",American Dogwood / EMPIRE,https://open.spotify.com/album/0DLvFVIfwt3OHdK9kGeEM3,https://i.scdn.co/image/ab67616d0000b273efa97e80fdb012456a40532c,Shaboozey,hip hop
168CdR21lfn0TTyw1Pkdcm,Fireworks & Rollerblades,"Night Street Records, Inc./Warner Records Inc.",https://open.spotify.com/album/168CdR21lfn0TTyw1Pkdcm,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,Benson Boone,pop rock
4f2G7uAWqzpOPwEfCDV87A,F-1 Trillion: Long Bed,Mercury Records/Post Malone,https://open.spotify.com/album/4f2G7uAWqzpOPwEfCDV87A,https://i.scdn.co/image/ab67616d0000b273e17e51543be87943285b65ad,Post Malone,country pop
6VCO0fDBGbRW8mCEvV95af,Lovin On Me,Generation Now/Atlantic,https://open.spotify.com/album/6VCO0fDBGbRW8mCEvV95af,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8,Jack Harlow,pop rap
5JjnoGJyOxfSZUZtk2rRwZ,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad,Kendrick Lamar,west coast hip hop
3iPSVi54hsacKKl1xIR2eH,Short n' Sweet,Island Records,https://open.spotify.com/album/3iPSVi54hsacKKl1xIR2eH,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,Sabrina Carpenter,pop
2Z1gnUf3nbn6DtwZSUIH54,MILLION DOLLAR BABY,PULSE Records,https://open.spotify.com/album/2Z1gnUf3nbn6DtwZSUIH54,https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f,Tommy Richman,contemporary r&b
10MWtR7jwqRTLQAvmTU7uQ,Unreal Unearth: Unending,Columbia,https://open.spotify.com/album/10MWtR7jwqRTLQAvmTU7uQ,https://i.scdn.co/image/ab67616d0000b2738044f38f15837e87e2b65222,Hozier,rock
3qBWNcWifNhUKJAWzswdJY,Stick Season (Forever),Mercury Records/Republic Records,https://open.spotify.com/album/3qBWNcWifNhUKJAWzswdJY,https://i.scdn.co/image/ab67616d0000b273ba6fb0a7e6c53fb8faa96226,Noah Kahan,folk
0OUOx6rJXtL66AzTnP9KUE,THINK LATER,RCA Records Label,https://open.spotify.com/album/0OUOx6rJXtL66AzTnP9KUE,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49,Tate McRae,alternative r&b
