album_id,genre
3egFmnuKrjoMAlqCfdw7KH,pop
0DLvFVIfwt3OHdK9kGeEM3,hip hop
168CdR21lfn0TTyw1Pkdcm,pop rock
4f2G7uAWqzpOPwEfCDV87A,pop
6VCO0fDBGbRW8mCEvV95af,pop rap
5JjnoGJyOxfSZUZtk2rRwZ,west coast hip hop
3iPSVi54hsacKKl1xIR2eH,pop
2Z1gnUf3nbn6DtwZSUIH54,contemporary r&b
10MWtR7jwqRTLQAvmTU7uQ,r&b and soul
3qBWNcWifNhUKJAWzswdJY,folk
0OUOx6rJXtL66AzTnP9KUE,pop
4iqbFIdGOTzXeDtt9owjQn,trap
7aJuG4TFXa2hmE4z1yxc3n,pop
3iPSVi54hsacKKl1xIR2eH,pop
6DmPNcfpkXBVRJsEIJY9tl,pop
1WAjjRMfZjEXtB0lQrAw6Q,synthpop
1Q5WON8dw2JFLP5JVQXu1e,pop
5H7ixXZfsNMGbIE5OBSpcb,folk pop
5QsVRNOKVMCeVAIUoOQJ13,
2g4aJTa5ejGpp0O0GKzWAQ,pop
5EYKrEDnKhhcNxGedaRQeK,pop
40HsqPqeSR9Xe3IyAJWr6e,
6i7mF7whyRJuLJ4ogbH2wh,country
7LRZfujsTLyy814AnMSdtT,country
6BzxX6zkDsYKFJ04ziU5xQ,pop
1o59UpKw81iHR0HPiSkJR0,synthpop
3UPTShNGcVewuV8nSxIMYY,country
5H7ixXZfsNMGbIE5OBSpcb,folk pop
4BnCr0behKaGscMMhpiHX7,
2Z3lIfc06B7YV1ZN9oZCdS,
0v9QGZDE2msGl8zAlXKP93,trap
31hcgCSu4mlA82syOFItur,hip hop
0SW0LplxFID1otCk4bhhHI,trap
168CdR21lfn0TTyw1Pkdcm,pop rock
2RRYaYHY7fIIdvFlvgb5vq,trap
1Mo92916G2mmG7ajpmSVrc,dance-pop
0SW0LplxFID1otCk4bhhHI,trap
4Q7cRXio6mF2ImVUCcezPO,hip hop
4JDXBZdRPId4devseaAOKH,synthpop
7aJuG4TFXa2hmE4z1yxc3n,pop
4tNtjyBBXMhGRwqOQTbh6i,
4iqbFIdGOTzXeDtt9owjQn,trap
62ldGEkFUkQa34B8qsAFyc,country
5tSQtQGkrCJx3hoQxmLgfM,reggaeton
0EiI8ylL0FmWWpgHVTsZjZ,dance-pop
5PmtX9B5vNa4uaiXQVn4Gx,
1q37MEHkdOivTuJJbwRkGS,
60s0PMYFJhe34io9HuyUXf,r&b and soul
2s7CBSj6aKbWmkfBU8eEsg,
4Q7cRXio6mF2ImVUCcezPO,hip hop
2MHUaRi9OCyTN02SoyRRBJ,pop
5nzSCZ7NhKvAysI0tmNOdD,
