album_id,genre
5GGhfo4jx3RArjyijUCnfP,pop rap
5JjnoGJyOxfSZUZtk2rRwZ,west coast hip hop
4BmzK2rkU0mJJzfkugX0NG,nu-disco
2Z1gnUf3nbn6DtwZSUIH54,contemporary r&b
0OWvUsVTHFXXnGiGht96K4,r&b and soul
1pb3je8gXTs5dpRRTKhHRC,pop
1nqF9ybDGwuGl1rVERp5Q4,pop
1WAjjRMfZjEXtB0lQrAw6Q,
1fmBMCSSkSlvxyoy1vut2k,pop
3KGVOGmIbinlrR97aFufGE,
2g4aJTa5ejGpp0O0GKzWAQ,pop
40HsqPqeSR9Xe3IyAJWr6e,
7LRZfujsTLyy814AnMSdtT,country
5gWV4yp27HCbXJ1YLe8hQM,electronic dance music
2Z3lIfc06B7YV1ZN9oZCdS,country
0oxsySb03ku7RpJmH2raGC,hip hop
7jMvMRNd508fY4ysRgADGS,trap
34dtgu2pcdvKAMpAhyCsDA,trap
71b560lfhaeBlp4URJHAzx,trap
3AafSrFIbJPH6BJHiJm1Cd,pop
4JDXBZdRPId4devseaAOKH,
0MHL4d7qBuQpgU9AXDd2cK,
0MHL4d7qBuQpgU9AXDd2cK,
62ldGEkFUkQa34B8qsAFyc,country
5tSQtQGkrCJx3hoQxmLgfM,
1q37MEHkdOivTuJJbwRkGS,
0Kqj5PY6TwePKQDFj4wnOB,r&b and soul
2s7CBSj6aKbWmkfBU8eEsg,
5HIWDdg3g9CTOtnevKDl1z,
32bR4LcEc1PvJEhaKoo4ZN,west coast hip hop
2o9pU5WgCt1r7IDe5BCUr8,country
1bWcE0tKOJgn4kgpNKSHU0,
3VNxRarx9HUI5w7DHv0TBj,
6kcZ35GY84A3FBIcIKVqTW,
1j5AROUr8rq5xb2CXDIH1c,
66zWgz6qNye8hXW8cOQY18,
62NSHNGNQC2hXZKNuvF6pi,country rock
4nTqaqVko7cIlMSkfXI9oF,hip hop
3NwHGaFneaad7RHBKboeUw,funk
3BlMJVXfuVfL9LZhO9zBUI,
5rQ9bj7fCon5qGgve7QmzL,country
5Zwbll6KYxOjZSuxRjQDEm,
5CLwcVp4tfZqwxHLr77dnY,
5ylbxH7EqpsmHZCRuiYewS,reggaeton
3NpeIWhWsxU7d3XL5KEh39,
6ImITnIw9fYiSDJ7uJhvMk,trap
3wZawwqgPM0P4SAyyWdn2S,
5zesPlZ3PXnxQ8HWzQ9idI,pop
1am5lkuTi53fNY0JCjwhjL,
69iNwop7x6VMhFMLEEtY1j,country
3zu0hJJew2qXZNlselIQk8,banda
3G89Vbw7shdM38VCVsFdoy,dance music
7tzVd1fwkxsorytCBjEJkU,contemporary r&b
3PlCMwyq6nuQYtoYproV1o,
0hHXTxICTlnURMkIEfz3It,country
6WkOBnYkj6y5iSr14uhUZF,
5pSk3c3wVwnb2arb6ohCPU,k-pop
6R68BhIDX91MORN00cxeo0,
2lxo4aqLY8nVpFLJUxPWZn,
569QVlCMcFnDWpLG7aeWBA,hip hop
0nayxjaX54Frd7GsZq6Pbs,
4yec2VewOzxBHjBgQ0yauV,
19X9Ts9AYIRrqthSTf3qss,
6OICpu12IxSHbMp2E2R7q0,
1bWcE0tKOJgn4kgpNKSHU0,banda
4vxNYdHwi4uGsgYDHlKLVG,country
18p7y4EZ6KczLQlgHWya1g,trap
7qOcM822LYEaTksCBUImpb,country
1crd6n615exck4Z3KWfUyS,
1vMVDUsMWaD5eB4oahCboP,alternative r&b
4WvcBQIZXspq4MYyEPNem2,
3BicSFhksEP3QHanmBM1Wd,reggae
3iPSVi54hsacKKl1xIR2eH,pop
5kvw1bAOvzJdNi4hdgfaNf,latin trap
0zjGKouRkAN6Z9Y9CwuSqi,country
0wJDZwjtG3Az0W585suocX,
5Fqjf9AmZPobGPRuyO2fJf,regional mexican
3alugxsCI4YNroUiTHYqLN,corridos tumbados
5WPTc1Xa8REVDQ5YazhNgv,banda
0FzWvaeMBfKBCqxHTLVlB8,trap
5U20AVSsUvycGtWip4XQfo,
3IQfOGGUJfBkWIgXzLaub9,country
07J7Q3Z7V00LvCxqzVqj9s,pop rock
4LVNTAzkG26XlODcRP0v4b,
6neohHPB8tUq8yVM7sacBh,country
7bH39Zpsu3XwyTSnZ36nmk,hip hop
4tU0FNnuiBD1P6IRTARHww,hip hop
2kJbSNF5JDzEOwYuqNc5PQ,
06me0leRR3AuF4IFiEytml,hip hop
32Gv2KwfKu35P5r77bmxzi,
3KhdXmuYsUQZUtd16wVJIE,country
4MiiGc86pG5wWTrvHwXecp,
1FkgWqBfOH8VaaiG8PRGxX,country
7lUEiaMZBxdemzqieZw2jx,country
